"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/ar/","Web Site - Windows Update","AR","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/cs/","Web Site - Windows Update","CS","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/da/","Web Site - Windows Update","DA","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/de/","Web Site - Windows Update","DE","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/el/","Web Site - Windows Update","EL","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/en/","Web Site - Windows Update","EN","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/es/","Web Site - Windows Update","ES","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/fi/","Web Site - Windows Update","FI","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/fr/","Web Site - Windows Update","FR","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/he/","Web Site - Windows Update","HE","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/hu/","Web Site - Windows Update","HU","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/it/","Web Site - Windows Update","IT","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/ja/","Web Site - Windows Update","JA","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/ko/","Web Site - Windows Update","KO","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/nl/","Web Site - Windows Update","NL","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/no/","Web Site - Windows Update","NO","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/pl/","Web Site - Windows Update","PL","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/pt/","Web Site - Windows Update","PT","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/ptbr/","Web Site - Windows Update","PTBR","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/ru/","Web Site - Windows Update","RU","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/sk/","Web Site - Windows Update","SK","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/sl/","Web Site - Windows Update","SL","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/sv/","Web Site - Windows Update","SV","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/tr/","Web Site - Windows Update","TR","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/zhcn/","Web Site - Windows Update","ZHCN","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie55rtw/x86/zhtw/","Web Site - Windows Update","ZHTW","North America"
